キャプション,種類,提出回次,番号,議案件名,審議状況,経過情報,経過情報URL,本文情報,本文情報URL,議案種類,議案提出回次,議案番号,議案件名,議案提出者,衆議院予備審査議案受理年月日,衆議院予備付託年月日／衆議院予備付託委員会,衆議院議案受理年月日,衆議院付託年月日／衆議院付託委員会,衆議院審査終了年月日／衆議院審査結果,衆議院審議終了年月日／衆議院審議結果,衆議院審議時会派態度,衆議院審議時賛成会派,衆議院審議時反対会派,参議院予備審査議案受理年月日,参議院予備付託年月日／参議院予備付託委員会,参議院議案受理年月日,参議院付託年月日／参議院付託委員会,参議院審査終了年月日／参議院審査結果,参議院審議終了年月日／参議院審議結果,公布年月日／法律番号
衆法の一覧,,195,4,公文書等の管理に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC8EBE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505004.htm,衆法,195,4,公文書等の管理に関する法律の一部を改正する法律案,篠原　豪君外十六名,,／,,平成30年10月24日／内閣,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,195,5,行政機関の保有する情報の公開に関する法律等の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC8EC6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505005.htm,衆法,195,5,行政機関の保有する情報の公開に関する法律等の一部を改正する法律案,後藤　祐一君外十四名,,／,,平成30年10月24日／総務,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,195,8,組織的な犯罪の処罰及び犯罪収益の規制等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC8F96.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19505008.htm,衆法,195,8,組織的な犯罪の処罰及び犯罪収益の規制等に関する法律の一部を改正する法律案,山尾　志桜里君外六名,,／,,平成30年10月24日／法務,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,196,2,被災者生活再建支援法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC8F66.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19605002.htm,衆法,196,2,被災者生活再建支援法の一部を改正する法律案,階　猛君外四名,,／,,平成30年10月24日／東日本大震災復興特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,196,3,災害弔慰金の支給等に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC8F6E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19605003.htm,衆法,196,3,災害弔慰金の支給等に関する法律の一部を改正する法律案,階　猛君外四名,,／,,平成30年10月24日／東日本大震災復興特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,196,4,東日本大震災復興特別区域法の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC8F76.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19605004.htm,衆法,196,4,東日本大震災復興特別区域法の一部を改正する法律案,階　猛君外四名,,／,,平成30年10月24日／東日本大震災復興特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,196,5,東日本大震災からの復興の推進のための相続に係る移転促進区域内の土地等の処分の円滑化に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC8F7E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19605005.htm,衆法,196,5,東日本大震災からの復興の推進のための相続に係る移転促進区域内の土地等の処分の円滑化に関する法律案,階　猛君外四名,,／,,平成30年10月24日／東日本大震災復興特別,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,196,6,対象発電用原子炉施設等に係る核原料物質、核燃料物質及び原子炉の規制に関する法律の特例に関する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC8F5E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19605006.htm,衆法,196,6,対象発電用原子炉施設等に係る核原料物質、核燃料物質及び原子炉の規制に関する法律の特例に関する法律案,柿沢　未途君外五名,,／,,平成30年10月24日／環境,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,196,7,原発廃止・エネルギー転換を実現するための改革基本法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC8F3E.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19605007.htm,衆法,196,7,原発廃止・エネルギー転換を実現するための改革基本法案,長妻　昭君外五名,,／,,平成30年10月24日／経済産業,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,196,13,主要農作物種子法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC8ECE.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19605013.htm,衆法,196,13,主要農作物種子法案,後藤　祐一君外八名,,／,,平成30年10月24日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,196,18,国有林野事業に従事する職員の労働関係を円滑に調整するための行政執行法人の労働関係に関する法律の一部を改正する法律案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC8ED6.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19605018.htm,衆法,196,18,国有林野事業に従事する職員の労働関係を円滑に調整するための行政執行法人の労働関係に関する法律の一部を改正する法律案,佐々木　隆博君外四名,,／,,平成30年10月24日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
衆法の一覧,,196,19,国有林野事業に従事する職員の給与等に関する特例法案,衆議院で閉会中審査,経過,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/keika/1DC8F0A.htm,本文,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/honbun/g19605019.htm,衆法,196,19,国有林野事業に従事する職員の給与等に関する特例法案,佐々木　隆博君外四名,,／,,平成30年10月24日／農林水産,／,／閉会中審査,,,,,／,,／,／,／,／
